jen,東菄鶇倲涷蝀凍鯟崠埬
gwang,廣鄺
bang,榜牓螃蒡
jang,駔驡髒
nang,曩灢
hang,沆骯蚢吭
tang,曭儻偒戃矘帑爣攩
mang,莽茻壾蟒漭
dang,黨讜欓
lang,朗朖誏俍崀榔
ang,坱姎映泱咉醠盎駚軮
kang,慷忼骯懬
wang,瀇
hwang,晃幌櫎榥滉攩皝
pang,髈
hwang,慌爌
gang,
ang,
sang,奘
cang,蒼
hang,汻酐
kwang,懬爌
geng,梗挭哽郠綆鯁埂骾
beng,丙昞怲邴炳秉窉苪蛃
geng,警儆景境璥蟼憼
eng,影璟璄摬
syeng,省眚渻
eng,永栐
heng,
meng,皿
geng,憬囧煚璟臩暻
heng,杏莕荇
meng,猛蜢艋鱦鄳
gyong,礦鑛獷穬
beng,浜㑟
jeng,盯
jeng,瑒
ong,㴄奣
deng,打
leng,冷
hong,卝澋
beng,鮩
kyong,
neng,檸
geng,耿
meng,鼆黽
heng,幸倖
beng,蠯螷
beng,皏
syeng,靜睜靖妌婧穽阱猙
jeng,整
ceng,逞騁裎悜睈
eng,郢浧梬
geng,痙
eng,潁穎
leng,領嶺阾柃袊
geng,頸
beng,餅屏鉼併
keng,頃頁檾苘
jeng,丼
eng,廮癭
ceng,請睛
syeng,省渻睲惺
meng,眳慏
jeng,徎塣
heng,迥冋炯泂
geng,熲炅炯頁
meng,茗嫇酩瀴溟眳姳
jeng,頂奵耵鼎薡酊濎葶靪打
jeng,挺艇鋌梃娗町霆莛涏蜓訂誔
ceng,珽圢脡侹頲徎町艼
seng,汫
eng,濙
keng,謦
neng,聹濘
heng,婞涬鋞脛緈
syeng,醒箵
beng,鞞
keng,褧檾苘烓顈絅
geng,剄烴
peng,頩
eng,巊瀴
leng,笭冷
beng,竝並鮩併
heng,詗
eng,矨
jeng,拯抍撜氶
ceng,庱
geng,殑
syeng,㱡
deng,等
peng,倗剻
keng,肯肎
neng,能
yu,有右友栯
lyu,柳罶懰珋嬼熮瀏綹茆
nyu,狃紐鈕杻莥扭
cu,丑杻杽
ju,肘疛扭
hyu,朽殠
gyu,久九玖灸韭
syu,首手守
cu,醜魗
syu,湫愀
byu,婦負萯蝜阜偩菩
byu,缶缹否不鴀痞殕
kyu,糗
nyu,蹂楺煣輮沑葇韖粈
gyu,舅倃臼齨麔咎
ju,紂鮦葤棸
yu,酉丣誘牖卣槱莠羑庮蜏欠琇梄欠玉輶湵
syu,受壽璹綬
syu,滫糔醙
yu,懮
ju,酒
syu,
ju,帚箒鯞晭
pyu,㤱紑
ju,掫搊
syu,
cu,
pyu,秠
how,厚垕後后郈
mow,母牡某拇胟畮畞莽踇
bow,部培犃瓿篰蔀婄
dow,斗枓蚪阧陡抖襡
tow,飳妵黈蘣斢鈄
gow,苟玽狗垢笱耇詬枸茩岣豿
ow,藕蕅偶耦髃
bow,掊
now,陾啂
sow,叜叟嗾擻藪籔廀棷駷操
how,吼吽呴蚼
pow,剖婄蔀
ow,歐嘔毆塸
low,塿嘍簍甊嶁謱漊
jow,走
kow,口扣釦叩竘
dow,䕆揄襡
sow,鯫
cow,趣取棷
yu,黝怮蚴泑眑
gyu,糾赳朻鬮
gyu,蟉
cim,寑寢梫鋟
jim,朕鰧螣栚顩
kim,坅
lim,廩懍菻凜顲癛
sim,罧伈
cim,踸鍖
jim,
nim,荏飪餁稔栠恁袵棯銋腍
jim,枕
sim,沈邥宷審瞫諗魫淰
sim,葚
sim,甚訦
cim,瀋
cim,墋醦磣
nim,拰
gim,噤凚唫
gim,錦
sim,蕈
im,僸趛
sim,瘮槮
bim,稟
im,飲
pim,品
kim,顉
him,廞
jim,戡
im,潭
sim,頁
gam,感鱤灝贑贛灨
dam,禫黮窞髧萏倓醰嘾贉譚
am,晻黭揞唵隌罯黤
nam,腩湳羽揇萳
tam,襑嗿黮
sam,歜
cam,慘憯朁黲傪噆
am,顉嵁
jam,昝寁撍
sam,糂糝糣槮
kam,坎歁惂輡錎轗埳顑竷臽
ham,頷頜撼淊菡欿蜭涵肣莟顄
lam,壈燣浨醂顲漤
dam,黕眈衴丨瓭抌
ham,
gam,敢又殳攴橄澉
sam,㶒
lam,覽爁擥攬欖罱
tam,菼緂毯裧
dam,膽紞黵
dam,噉啖啗澹淡憺惔
cam,黲
mam,㛧
jam,
sam,槧鏨嵌
ham,喊嚂
am,埯揜
kam,䖔
em,琰剡棪燄淡扊淊夵
lem,斂撿薟蘞瀲獫溓嬚羷
hem,險獫玁譣憸嶮
bem,貶
jem,颭
kem,嵰
em,顩广嬐嶮噞
gem,儉芡
gem,檢瞼
em,黶檿厭魘厴擪酓
nem,冉姌苒染柟
syem,陝睒閃覢
cem,諂讇
em,奄閹掩揜裺晻渰罨弇媕
syem,漸蔪嚵鏨螹槧
cem,憸
jem,
kem,脥
syem,剡
cem,忝栝銛悿
nem,淰姌
jem,點玷
jem,簟扂丨丨驔橝
kem,嗛歉慊膁
lem,稴溓
hem,鼸
cem,憯
gem,孂
mem,厸
em,儼广礹曮
kem,欦頁
em,埯
ham,豏減喊甉
jam,湛偡
kyam,歉撖槏
gyam,鹼鹻減
sam,瀺嶃嵁
lam,臉醶
jam,斬
cam,
ham,闞欦
sam,摻醦
am,黯
ham,喊
nam,淰
cam,旵
ham,檻艦壏濫轞撖
kyam,
sam,㺑
am,黤
cam,醶
ham,㺖豃
sam,巉
byom,范範軓笵犯
myom,錽
byom,
kyom,凵㧄
pyom,釩
com,
song,送鬆凇
byong,鳳
gong,貢贛虹羾
long,弄梇礱哢
dong,涷凍棟湩
kong,控倥悾鞚空
jong,糉粽偬鯼緵
ong,瓮甕罋
cong,愡
dong,洞恫眮絧峒詷胴慟筒駧衕迵戙
tong,痛
jong,仲蟲
byong,諷風
kyong,焪䛪
myong,㝱夢瞢鄸䠢
hyong,
mong,霿艨
cong,趥
pyong,賵
song,
jong,中衷
hong,哄烘港鬨蕻
nong,齈癑
jong,衆
cong,銃
syong,㓽
hong,烘戇
song,宋
jong,綜錝
tong,統
mong,雺
hong,䃔㗢
yong,用
syong,頌誦訟吅
byong,俸縫捀
gyong,共
byong,葑封
gyong,供龏
ong,雍灉
jong,湩堹諥
jong,縱瘲
cong,蹱憃
nyong,䩸
jong,種偅
jong,重緟
lyong,贚躘儱
kyong,恐
syong,從
nyong,
gyang,絳虹降洚
hang,巷衖鬨
jang,戇
jang,憧幢撞艟
cang,
sang,漴
bang,肨
cang,
sang,淙
ji,寘忮伎觶伿
bi,避
jwi,惴
li,詈荔離珕
si,豉鯷
ji,積
si,賜澌儩杫
wi,爲
gwi,䞈垝攱
pi,帔秛襬
bi,賁佊詖貱陂跛藣
bi,髲被鞁旇
lwi,累
gi,寄徛
bi,臂
gi,芰騎鬾輢汥
ci,刺刾朿莿庛蛓
i,易貤伿
i,議誼竩義
pi,譬
si,漬眥髊骴胔
ji,智潪
i,倚輢陭
jwi,縋膇槌錘腄甀硾
cwi,吹
hi,戲嚱
ki,企跂蚑吱
i,縊螠
si,翅翄施馶啻鍦卶翨
si,屣灑襹曬
kwi,觖
wi,餧萎
wi,僞
hwi,毀
wi,恚
swi,睡瑞
gi,馶翨
nwi,
ci,卶
swi,䅗瀡
jwi,娷諈
wi,瓗纗贀
nwi,諉
gwi,瞡
ji,
hwi,孈
ki,掎
ji,至摯贄鷙礩鴲懥
wi,位
mi,郿媚魅鬽篃蝞嚜煝娓
syuy,遂彗隧禭旞璲檖
juy,醉檇
syuy,邃祟誶粹睟賥譢
lyuy,類淚瓃垒蘱纍禷
bi,祕毖閟轡柲鉍泌鄪費秘粊
gwi,匱蕢臾饋餽櫃樻鞼簣
pi,濞嚊淠
bi,備俻奰糒犕絥鞴韍贔
gwi,媿愧聭謉騩
swi,帥率
kwi,喟嘳樻腃尯
hwi,豷燹
si,嗜視眎眂
li,利莅涖痢
ni,䣵
pi,屁
i,劓
ji,懫疐躓輊騺懥質駤
ki,棄弃夡蟿
ji,緻稚遟稺治謘致
mi,寐媢
ci,杘誺訵桑跮
gi,冀兾覬驥洎懻
gi,臮曁洎垍墍
gyuy,悸猤痵
cuy,翠濢臎
ni,二弍貳樲髶
ji,恣
ci,次佽絘
i,懿饐欭鷧撎亄
si,四亖肆柶泗牭貄駟蕼肂
ki,器
gyuy,季瞡
bi,鼻比枇坒襣芘
hyuy,婎睢
bi,痹畀庇比
syuy,萃顇悴瘁
ji,地墬
hi,齂屓呬
i,肄殔貤勩隶
si,示諡謚眎貤
si,自嫉
jwi,墜懟鎚
cuy,出
yuy,遺蜼瞶
hyuy,侐
jwi,轛
ci,痓
si,屍
cwi,
syuy,㽷
ji,志娡誌痣織
ji,值植治
si,寺嗣孠飤飼
ci,蛓蚝螆
si,笥伺思覗
si,試弑幟僿
ji,胾椔事剚倳鶅
li,吏
si,字牸孳茡芓孖
ci,眙佁誺
ni,餌珥衈毦咡刵佴誀洱眲
si,駛使
ci,廁
i,異异潩巳廙
ji,置
si,侍蒔秲
si,事
gi,忌邔惎鵋誋諅梞帺
ci,熾饎糦幟哆埴
i,意鷾亄
gi,記
hi,憙嬉
i,豙㘈譺㽈儗
ki,亟唭
mi,未味菋沬鮇
gwi,貴瞶
wi,胃謂媦緯彚蝟渭煟緭廾圍
wi,魏犩
bi,沸疿芾茀誹鯡
pi,費髴靅昲
kwi,
wi,尉寸熨慰畏罻犚蔚螱褽
hwi,諱卉芔泋
bi,狒腓怫菲屝蜚翡萉痱費蜰蟦
gi,旣曁禨漑旡
i,毅豙藙顡
ki,氣炁气
hi,欷唏墍愾氣餼鎎熂黖霼犔忥
gi,䤒幾
i,衣
o,御馭語
lyo,慮勴力鑢櫖
gyo,據鋸倨踞椐鐻澽豦
co,覰刞坥蜡
kyo,㰦去麮呿鼁胠
syo,署藷薯曙
syo,恕庶樜
jo,著箸
jo,䬡翥庶
syo,捒
o,飫瘀鄔醧淤菸棜
jo,箸筯除
gyo,遽勮詎醵澽
syo,絮
syo,助耡麆
jo,怚沮
jo,詛阻
nyo,洳茹如
yo,豫預譽礜輿鸒藇蕷穥忬歟悇與澦
hyo,嘘
nyo,女絮
co,楚儊
co,處
co,絮悇
syo,
u,遇寓庽媀禺
u,嫗蓲饇
syu,樹澍尌
ju,住牏逗
byu,附坿祔賻駙鮒蚹跗胕
ju,注疰罜鑄馵註炷澍霔蛀
gyu,屨句蒟絇瞿怐邭
hyu,昫煦酗呴姁
syu,戍腧輸隃
yu,裕覦諭喻籲
nyu,孺擩
pyu,赴豧簠訃仆婏
myu,務婺霧霚騖蝥嵍敄鶩
ju,緅足
gyu,懼具埧臞
u,芋雨羽吁
syu,埾聚
syu,捒數
byu,付賦傅陚搏
cu,娶趣
ju,註鉒駐軴住壴咮亍
kyu,驅
cu,菆
cu,
syu,尠
lyu,屢
mo,暮慕募墓慔
do,渡斁鍍度
lo,路露潞輅鷺璐賂簬簵虂
do,妒妬秅秺奼蠹螙殬斁
to,菟兔吐鵵
go,顧頋雇稒故酤沽痼固錮鯝棝凅
o,誤悮寤忤啎迕遻晤悟逜窹捂娛
ho,護瓠婟頀互濩冱枑韄鱯擭
so,訴愬泝遡素傃嗉膆塑塐
so,祚胙阼飵秨
no,笯怒
bo,布圃佈抪
o,汙惡噁
po,怖悑鋪誧
co,厝措醋錯
ko,絝袴庫胯苦跨
bo,捕哺步鞴餔鮬鵏荹
ho,謼戽
jo,作
jey,霽隮躋濟擠穧
jey,帝諦嚏啑柢蔕螮蝃摕疐骶僀偙腣趆蝭渧
sey,嚌劑穧眥齊齌癠懠
cey,替暜鬀剃戻揥涕洟达薙殢
jey,第弟遰髢鬀締睇悌娣禘軑釱鷤棣杕踶題遞摕慸鯷墆逮
cey,砌切妻摖
syey,細些栖壻
ey,詣羿睨栺盻甈堄霓
gey,計係繼繫薊髻檕檵蘻轚
hey,蒵系妎禊繫瘛慀盻稧
key,契栔罊蟿
ey,翳曀枍瘱殪瞖医嫕蘙縊豷繄殹
mey,謎
bey,閉閇嬖箅
hwey,慧憓潓惠蟪蕙橞繐儶譓鏸
gwey,桂昋炅炔筀罣夬
hwey,嘒嚖暳
pey,媲睥渒濞刂
bey,薜
ley,麗戾隸隷儷攴皿綟劙唳蜧沴荔捩欐涖悷栛丽蜦珕離
cey,
ney,泥埿迡濘
hey,殢
jay,祭際穄鰶穧
sway,歲櫘繐
wey,衞軎轊璏槥彗讏熭
nway,芮汭枘蜹笍鈉
jway,贅
swey,
cway,毳韢脃膬脆帨竁斤刂
way,銳銴叡睿蜹
jwey,綴醊畷笍啜餟腏錣卂輟
sway,稅說裞蛻帨涗
bay,斃幣敝
cwey,斤竁毳
sway,篲鏏彗槥軎轊
bay,蔽鄨鷩彆
gwey,劌鱖蹶
myay,袂
syey,鎩蔱
cay,掣瘛懘痸銐
jay,制淛製晢狾迣
syay,逝忕噬誓斤筮|工|収澨銴遾
yay,曳裔勩泄洩枻詍靾跇袣抴丿呭
ey,瘞餲
ay,藝埶蓺囈槸褹
jey,滯彘蹛銐璏
lyay,例厲礪勵禲癘鮤濿砅蠣蠇櫔糲巁犡栵洌
key,憩愒揭甈
syay,世丗勢貰
gey,猘罽瀱訐彐蘮
jey,㿃
gey,偈
sway,啜
cey,跇傺慸揥
jwey,
ey,
jway,蕝
pay,潎
kwey,
hwey,䂕
tay,泰忕太汰
gay,蓋匃丐
ay,艾鴱
ay,藹壒馤靄曖
nay,柰奈渿
day,大汏軑釱忕
hay,害夆妎
day,帶跢蹛艜
bay,貝沛鋇芾狽伂茷
pay,霈浿沛
hway,會禬繪
dway,兊綐銳
gway,儈膾鱠襘禬檜旝巜澮鄶廥鬠劊會獪
jway,最
hway,噦翽鐬渙濊
kway,
lway,酹頪
way,外
dway,祋
way,懀濊薈嬒
sway,蕞
sway,
cway,襊
bay,旆軷
kay,磕轄愒溘
cay,蔡
lay,賴籟癩瀨糲藾犡鵣
hay,餀
tway,娧蛻駾毻裞
may,眜沫
cway,
gway,卦挂掛詿罣
gyay,懈解繲廨薢賹
ay,拏詉挐摣蒘笯
hay,邂解
may,賣
hway,畫詿罣絓澅黊繣纗孈畵
cay,差瘥衩杈訍
ay,睚
hay,謑
bay,
bay,粺稗杷
say,眦
bay,派
jay,債
kyay,阝
say,曬汛洒
hway,諣
bay,
jway,膪
gway,怪恠又壞
ay,噫呃
jay,瘵祭
gyay,誡戒界介届疥玠砎魪尬价悈艐芥衸丯
nay,褹
hay,譮欸齂噧
hay,械薤齘瀣韰衸
ay,譺
kway,蒯喟嬇又又簣嘳蕢墤
bay,拜扒
bay,湃浿
hway,壞蘾
way,聵頁
bay,憊韛棑
may,豸韎
hway,躛又咶
say,鎩殺閷
kyay,烗劾揩
cway,顡
gway,夬獪又
kway,快噲駃璯
may,邁勱佅
hway,話
bay,敗攴唄
way,懀
cway,嘬欠
gyay,犗
cay,蠆慸
ay,喝餲嗄欬
say,
jay,
hay,䜕
hway,咶
bay,敗
cway,啐
say,寨砦
hay,㕢
dway,隊薱憝憞譈鐓錞濧
bay,佩珮孛鄁邶偝誖悖背苝
may,妹昧眛每痗瑁黴莓脢
pay,配昢妃嶏
hway,誨悔晦靧頮秏痗詯
dway,對寸碓轛
cway,倅淬焠啐
jway,晬祽綷捘
way,隈
tway,退
gway,憒幗刏慖簂蔮
hway,潰迴繢嬇殨闠螝詯膭僓
kway,塊凷堁
sway,碎誶啐繀
nway,内
lway,纇耒儽攂酹蘱礧銇錑
bay,背輩誖
way,磑
hway,蚚
day,代岱黛黱逮埭帒袋甙酨瑇靆
jay,載再縡丮
may,䆀脄
say,賽簺塞
tay,貸儓態曃
gay,漑槩摡又
kay,慨愾欬鎧闓嘅
ay,礙硋閡儗懝
ay,愛曖僾靉薆璦
hay,瀣劾
nay,耐螚鼐能佴耏
day,戴
lay,賚萊睞徠勑誺逨
cay,菜埰棌
say,載裁纔在酨栽
hay,儗
bey,廢癈橃祓砩
pey,肺杮
wey,穢薉濊獩饖
bey,吠茷鼣
hwey,喙餯顪
gwey,
ey,刈乂艾
jin,震振賑娠侲挋袗頁
sin,信訊訙迅囟顖卂汛奞阠
nin,刃認肕韌仞軔牣杒訒
in,胤酳靷引朄濥洕鈏
lin,遴吝悋磷閵粦燐藺轥轔麐瞵橉鏻甐疄撛粼躙
bin,儐擯殯鬢覕
jin,敶陳陣診
sin,愼昚蜃
sin,眒阠抻
kin,菣臤
sin,賮燼藎濜璶
in,憖猌垽
jin,晉搢縉進枃璡
hin,衅釁舋
jin,鎭瑱塡
gin,僅覲殣瑾饉廑瘽墐歏
cin,櫬瀙嚫襯儭齔
in,印鮣
cin,疢趁
pin,
cin,親寴儭瀙
kin,螼
gyun,呁
jun,稕諄盹訰
syun,峻濬浚陖埈迅鵕奞晙迿
syun,殉徇侚
jun,儁俊晙餕畯駿寯焌灷
syun,舜蕣瞬瞚眴鬊
nyun,閠潤
syun,順揗
myun,問璺絻汶紊聞莬脕抆鼤娩
un,運暈餫韗鄆貟忶鶤韻緷
hyun,訓爋臐薰鐼
pyun,湓忿魵瀵
byun,糞拚僨奮瀵
un,醖愠緼蕰
gyun,攈捃皸
gyun,郡
byun,分秎坋
hin,焮炘庍脪
gin,靳斤劤
gin,近
in,懚隱檼
in,垽
wan,願頁傆愿
wan,怨
ban,販畈
kwan,券絭勸虇綣韏
man,万萬輓蔓曼蟃鰻娩獌贎脕鬗
ban,飯閞
pan,嬔婏奿汳
gyan,建旔
an,堰鄢郾傿褗漹嫣
hyan,獻憲瀗
hwan,楥楦韗
gyan,健腱
pan,
wan,遠
an,鬳
gwan,圈
gwan,絭
hon,慁溷俒圂
don,頓扽敦
son,巽顨潠遜愻
kon,困涃
non,嫩媆腝抐
on,揾
mon,悶懣
son,鐏臶栫鱒
gon,睔睴琯璭謴
pon,噴歕湓
don,鈍遁遯鶨
con,寸
bon,坌
on,顐諢
lon,論溣碖
bon,奔
hon,惛
jon,焌捘
hon,恨
gon,艮茛珢詪
on,䭓
on,䭡
han,翰捍扞鼾螒垾豻釬汗悍瀚閈駻雗馯忓矸
tan,炭歎嘆湠
an,按案洝晏荌
dan,旦疸鴠觛狚笪
dan,憚彈澶僤但撣
gan,旰榦倝幹杆盰骭矸
an,岸犴豻頇喭
kan,侃偘靬看衎
han,漢暵熯厂
lan,爛爤瀾糷鑭讕
nan,攤灘難
can,粲燦璨薒
san,繖攵散帴攴
jan,賛讃鄼饡趲濽襸攅
san,䏼穳囋
hwan,換逭肒垸漶
jwan,鑚
wan,戾隸隷儷綟劙唳蜧沴荔捩欐涖悷栛丽蜦珕離
gwan,貫矔祼館瓘罐痯灌雚鸛樌鏆懽錧爟遦冠觀涫悹悺盥棺毌婠
cwan,竄鑹爨殩
wan,玩貦翫妧忨
dwan,段椴
lwan,亂灓攴
dwan,鍛腶碫斷瑖踹
twan,彖褖貒湪
hwan,喚嚾煥奐渙喛
swan,筭蒜笇祘
man,縵幔漫獌墁鏝謾
ban,半絆靽姅
pan,判泮頖沜胖姅冸牉
ban,叛畔伴
nwan,偄愞稬渜
swan,攅
kwan,
gyan,諫鐗
an,鴈鳫雁贗偐
an,晏騴鴳鷃
san,訕汕狦疝柵
han,骭娨
man,慢嫚謾縵
wan,綰贃
hwan,患擐宦轘豢槵繯
gwan,慣丱摜倌串矔
swan,涮
cwan,篡
wan,薍
san,輚棧虥
ban,襻
nwan,奻
can,羼鏟
can,
gyan,襉閒覵
han,莧藖粯
ban,瓣辨辦釆
ban,盼
hwan,幻
man,蔄
jan,袒綻
ban,扮
gwan,鰥
syen,霰先汛軐
cen,蒨茜輤綪倩芊棈篟
hwen,絢絃夐眴駽讂
hwen,縣寰袨眩炫衒贙迿姰玹眴
gwen,睊讂瓹罥懁獧狷
jen,電殿奠畋澱淀甸佃鈿闐涏塡窴壂
cen,瑱滇睼
len,練鍊揀楝鰊僆萰堜湅
gen,見鋻
nen,晛
ken,俔牽菣蜆涀汧
hen,見現涀
en,硯研豜趼
en,宴驠燕鷰醼讌嬿嚥咽溎酀
jen,薦
men,麪麵瞑眄
pen,片
sen,荐洊臶栫瀳袸
wen,裫噮肙
jen,殿唸
hen,
syen,線綫惗鮮
jen,戰顫
syen,繕鄯擅膳饍僐禪單嬗
en,彦唁喭甗諺這
ken,譴遣晵繾
gwen,絹狷鄄
wen,瑗援媛褑院
men,面偭
cwen,釧竁穿諯
wen,掾縁
jen,襢
nwen,
jen,箭鬋葥湔籛濺煎
cen,硟
syen,扇煽傓
en,躽堰
gwen,眷睠捲弮卷桊帣絭犈觠飬勬
gwen,倦韏襈
lwen,戀灓孌
cwen,猭鶨
ben,變
swen,
cwen,縓諯
ben,卞拚抃弁汴閞昪匥笲忭
swen,鏇縼旋嫙
swen,選繏渲
swen,籑饌襈僎譔
jwen,孨
jwen,傳
sen,賤諓餞
syen,羨
pen,騗偏
swen,叀
nen,輾碾
jwen,囀傳轉
en,衍莚羨狿延涎
ben,便
jen,邅纏
len,摙
kwen,絭
jwen,剸
ben,徧遍
syaw,嘯歗熽
caw,糶眺覜趒咷頫窱鋽絩
jaw,弔伄瘹釣窵蔦
gyaw,叫訆徼譥激噭嘂獥欠鸄
nyaw,尿
jaw,藋銚掉調莜嬥
kyaw,竅
lyaw,尥嫽料嘹鐐璙炓
yaw,顤獟澆嘄
yaw,窔
hyaw,嬈娎
syaw,肖韒鞘
jaw,照炤詔
yaw,燿鷂摇覞耀曜欠玉筄趭鷣艞讑
yaw,要葽
jaw,召
syaw,邵召劭卲
gyaw,嶠轎
paw,剽彯漂僄翲勡摽嫖慓
syaw,噍誚劁趭
myaw,妙玅篎
caw,陗峭篍哨俏帩
lyaw,燎療熮膫鷯
kyaw,趬譑
yaw,
jaw,醮釂皭潐爝僬趭
myaw,廟庿
baw,驃
syaw,少燒
caw,朓
baw,裱俵
gyaw,翹
nyaw,饒繞
haw,效効斆傚詨
gyaw,敎窖校鉸酵膠較珓
haw,孝哮涍嗃詨
jaw,罩鵫
baw,豹爆
kyaw,敲礉巧
maw,皃貌緢
baw,奅窌炮抛皰礮
caw,趠踔
saw,稍潲揱娋
jaw,棹櫂濯
naw,橈淖鬧
jaw,抓癄笊
baw,靤皰鞄鉋骲
caw,抄鈔縐耖仯觘罺
aw,靿袎箹軪
aw,樂磽
saw,巢
haw,号號
daw,導翿纛悼蹈盜燾幬儔
daw,到禱倒菿
gaw,誥郜告縞膏烄
aw,傲嫯鏊驁奡謷聱
maw,冃帽耄芼眊瑁冒旄毛媢覒
law,嫪澇潦勞僗髝癆
caw,操造艁慥糙鄵
baw,暴虣曝瀑勽菢袌
baw,報
saw,漕
aw,奥懊隩燠镺墺澳
saw,喿譟噪瘙髞埽掃
kaw,犒稾靠
jaw,竈躁趮
haw,秏好藃
naw,腝腦
ga,箇个個
ha,賀袔
ja,佐左袏作
da,跢癉痑哆
la,邏
ka,坷軻蚵艐
a,餓
da,大
na,奈那
sa,些
ha,呵
ta,拖
gwa,過裹鐹划
hwa,和盉俰
jwa,挫侳
kwa,課堁髁科
twa,唾涶毻蛻嫷毤
ba,播簸番譒
cwa,剉莝銼
ma,磨塺摩
nwa,愞堧稬
pa,破頗
swa,座坐
wa,臥
cwa,諎
hwa,貨
dwa,惰媠
ba,縛
lwa,@立摞
dwa,桗刴挅
cwa,磋
swa,䐝
a,侉
wa,涴
ma,禡榪鬕罵傌
gya,駕稼嫁瘕架椵價假幏賈
a,亞俹稏啞婭襾
ha,嚇罅唬謑煆
a,迓訝犽齖枒砑
ca,詫侘
ja,吒咤奼灹哆奓膪
ja,詐溠咋笮醡榨
sa,乍蜡齰
sya,謝榭
kya,髂疴
ha,暇夏下芐
sya,褯藉躤
ya,夜射
ca,斥
sya,蝑卸瀉
ja,柘樜鷓嗻炙蔗
ja,唶借
sya,舎赦涻厙
sya,射麝貰
ba,霸弝欛靶灞垻
ba,帊怕
hwa,摦崋華樺鳠檴
hwa,化匕諣杹
kwa,跨胯
swa,誜傻
ba,杷跁
na,絮
ca,笡
sa,嗄沙
gwa,坬
ja,
wa,瓦
wa,攨窊
yang,漾恙羕颺煬樣養眻諹瀁
